#Evangervatn, 62.115.0, Vannstand, time
Tidspunkt;Vannstand (m);Korrigert;Kontrollert
2024-06-14 08:00:00Z;8,641754;1;3
2024-06-14 09:00:00Z;8,648878;1;3
2024-06-14 10:00:00Z;8,650375;1;3
2024-06-14 11:00:00Z;8,652125;1;3
2024-06-14 12:00:00Z;8,648255;1;3
2024-06-14 13:00:00Z;8,638515;1;3
2024-06-14 14:00:00Z;8,625267;1;3
2024-06-14 15:00:00Z;8,612026;1;3
2024-06-14 16:00:00Z;8,593657;1;3
2024-06-14 17:00:00Z;8,57827;1;3
2024-06-14 18:00:00Z;8,565761;1;3
2024-06-14 19:00:00Z;8,558253;1;3
2024-06-14 20:00:00Z;8,552878;1;3
2024-06-14 21:00:00Z;8,547253;1;3
2024-06-14 22:00:00Z;8,542131;1;3
2024-06-14 23:00:00Z;8,532012;1;3
2024-06-15 00:00:00Z;8,52126;1;3
2024-06-15 01:00:00Z;8,512257;1;3
2024-06-15 02:00:00Z;8,50513;1;3
2024-06-15 03:00:00Z;8,498631;1;3
2024-06-15 04:00:00Z;8,49063;1;3
2024-06-15 05:00:00Z;8,486501;1;3
2024-06-15 06:00:00Z;8,485251;1;3
2024-06-15 07:00:00Z;8,480751;1;3
2024-06-15 08:00:00Z;8,48;1;3
2024-06-15 09:00:00Z;8,479625;1;3
2024-06-15 10:00:00Z;8,477251;1;3
2024-06-15 11:00:00Z;8,477254;1;3
2024-06-15 12:00:00Z;8,484129;1;3
2024-06-15 13:00:00Z;8,487628;1;3
2024-06-15 14:00:00Z;8,493128;1;3
2024-06-15 15:00:00Z;8,495255;1;3
2024-06-15 16:00:00Z;8,504136;1;3
2024-06-15 17:00:00Z;8,514887;1;3
2024-06-15 18:00:00Z;8,525641;1;3
2024-06-15 19:00:00Z;8,537136;1;3
2024-06-15 20:00:00Z;8,534256;1;3
2024-06-15 21:00:00Z;8,541256;1;3
2024-06-15 22:00:00Z;8,546378;1;3
2024-06-15 23:00:00Z;8,553131;1;3
2024-06-16 00:00:00Z;8,559877;1;3
2024-06-16 01:00:00Z;8,561254;1;3
2024-06-16 02:00:00Z;8,569386;1;3
2024-06-16 03:00:00Z;8,580385;1;3
2024-06-16 04:00:00Z;8,588005;1;3
2024-06-16 05:00:00Z;8,595005;1;3
2024-06-16 06:00:00Z;8,602383;1;3
2024-06-16 07:00:00Z;8,612137;1;3
2024-06-16 08:00:00Z;8,622886;1;3
2024-06-16 09:00:00Z;8,63301;1;3
2024-06-16 10:00:00Z;8,643136;1;3
2024-06-16 11:00:00Z;8,653886;1;3
2024-06-16 12:00:00Z;8,663507;1;3
2024-06-16 13:00:00Z;8,670255;1;3
2024-06-16 14:00:00Z;8,678006;1;3
2024-06-16 15:00:00Z;8,686007;1;3
2024-06-16 16:00:00Z;8,694762;1;3
2024-06-16 17:00:00Z;8,708905;1;3
2024-06-16 18:00:00Z;8,728761;1;3
2024-06-16 19:00:00Z;8,745024;1;3
2024-06-16 20:00:00Z;8,759761;1;3
2024-06-16 21:00:00Z;8,772256;1;3
2024-06-16 22:00:00Z;8,779752;1;3
